university_id,university_name,university_country
unvst-019b0caa-6751-7bf7-a203-db46073fff07,Clinch Valley College,United States
unvst-019b0caa-6751-7bf7-a203-db4755260b67,Coastal Carolina University,United States
unvst-019b0caa-6751-7bf7-a203-db48f894b045,Coast Colleges,United States
unvst-019b0caa-6751-7bf7-a203-db49a9a7a376,Coe College,United States
unvst-019b0caa-6751-7bf7-a203-db4ae048bd1c,Coker College,United States
unvst-019b0caa-6751-7bf7-a203-db4b3dbed3bd,Colby College,United States
unvst-019b0caa-6751-7bf7-a203-db4c51005d64,Colgate University,United States
unvst-019b0caa-6751-7bf7-a203-db4daf95f58d,College of Charleston,United States
unvst-019b0caa-6751-7bf7-a203-db4eb0bf4c7a,College of Eastern Utah,United States
unvst-019b0caa-6751-7bf7-a203-db4fc3f55963,College of New Rochelle,United States
unvst-019b0caa-6751-7bf7-a203-db5060408c21,College of Saint Benedict,United States
unvst-019b0caa-6751-7bf7-a203-db51c926ae1f,College of Saint Catherine,United States
unvst-019b0caa-6751-7bf7-a203-db52252b1d96,College of Saint Rose,United States
unvst-019b0caa-6751-7bf7-a203-db5329edd0cb,College of St. Francis,United States
